evaluator,scenario,example,rating,better
Janez,instructions_gams9b_eval,1,2,0
Janez,instructions_gams9b_eval,2,2,0
Janez,instructions_gams9b_eval,3,3,0
Janez,instructions_gams9b_eval,4,3,0
Janez,instructions_gams9b_eval,5,1,0
Janez,instructions_gams9b_eval,6,1,0
Janez,instructions_gams9b_eval,7,3,0
Janez,instructions_gams9b_eval,8,3,0
Janez,instructions_gams9b_eval,9,4,0
Janez,instructions_gams9b_eval,10,3,0
Janez,instructions_gams9b_eval,11,3,0
Janez,instructions_gams9b_eval,12,1,0
Janez,instructions_gams9b_eval,13,2,0
Janez,instructions_gams9b_eval,14,1,0
Janez,instructions_gams9b_eval,15,1,0
Janez,instructions_gams9b_eval,16,1,0
Janez,instructions_gams9b_eval,17,1,0
Janez,instructions_gams9b_eval,18,2,0
Janez,instructions_gams9b_eval,19,1,0
Janez,instructions_gams9b_eval,20,3,0
Janez,instructions_gams9b_eval,21,2,0
Janez,instructions_gams9b_eval,22,1,0
Janez,instructions_gams9b_eval,23,3,0
Janez,instructions_gams9b_eval,24,2,0
Janez,instructions_gams9b_eval,25,1,0
Janez,instructions_gams9b_eval,26,1,0
Janez,instructions_gams9b_eval,27,1,0
Janez,instructions_gams9b_eval,28,3,0
Janez,instructions_gams9b_eval,29,3,0
Janez,instructions_gams9b_eval,30,2,0
Janez,finetuned_gams9b_eval,1,5,1
Janez,finetuned_gams9b_eval,2,3,0
Janez,finetuned_gams9b_eval,3,2,0
Janez,finetuned_gams9b_eval,4,3,0
Janez,finetuned_gams9b_eval,5,3,0
Janez,finetuned_gams9b_eval,6,4,0
Janez,finetuned_gams9b_eval,7,4,0
Janez,finetuned_gams9b_eval,8,4,0
Janez,finetuned_gams9b_eval,9,2,0
Janez,finetuned_gams9b_eval,10,3,0
Janez,finetuned_gams9b_eval,11,3,0
Janez,finetuned_gams9b_eval,12,4,1
Janez,finetuned_gams9b_eval,13,1,0
Janez,finetuned_gams9b_eval,14,1,0
Janez,finetuned_gams9b_eval,15,1,0
Janez,finetuned_gams9b_eval,16,3,0
Janez,finetuned_gams9b_eval,17,3,0
Janez,finetuned_gams9b_eval,18,3,0
Janez,finetuned_gams9b_eval,19,3,0
Janez,finetuned_gams9b_eval,20,2,0
Janez,finetuned_gams9b_eval,21,4,0
Janez,finetuned_gams9b_eval,22,4,0
Janez,finetuned_gams9b_eval,23,2,0
Janez,finetuned_gams9b_eval,24,3,0
Janez,finetuned_gams9b_eval,25,3,0
Janez,finetuned_gams9b_eval,26,2,0
Janez,finetuned_gams9b_eval,27,3,0
Janez,finetuned_gams9b_eval,28,5,0
Janez,finetuned_gams9b_eval,29,1,0
Janez,finetuned_gams9b_eval,30,1,0
Janez,finetuned_instructed_gams9b_eval,1,4,0
Janez,finetuned_instructed_gams9b_eval,2,3,0
Janez,finetuned_instructed_gams9b_eval,3,2,0
Janez,finetuned_instructed_gams9b_eval,4,3,0
Janez,finetuned_instructed_gams9b_eval,5,4,0
Janez,finetuned_instructed_gams9b_eval,6,4,0
Janez,finetuned_instructed_gams9b_eval,7,5,1
Janez,finetuned_instructed_gams9b_eval,8,3,1
Janez,finetuned_instructed_gams9b_eval,9,3,0
Janez,finetuned_instructed_gams9b_eval,10,4,0
Janez,finetuned_instructed_gams9b_eval,11,2,0
Janez,finetuned_instructed_gams9b_eval,12,3,0
Janez,finetuned_instructed_gams9b_eval,13,3,0
Janez,finetuned_instructed_gams9b_eval,14,1,0
Janez,finetuned_instructed_gams9b_eval,15,2,0
Janez,finetuned_instructed_gams9b_eval,16,3,0
Janez,finetuned_instructed_gams9b_eval,17,2,0
Janez,finetuned_instructed_gams9b_eval,18,4,0
Janez,finetuned_instructed_gams9b_eval,19,3,0
